Date,Time,Open,High,Low,Close,Volume
20030505,07:00:00,340.35,342.59,339.73,341.89,5662110
20030506,07:00:00,341.49,344.21,340.28,342.37,6868000
20030507,07:00:00,342.65,344.19,339.00,341.16,6202250
20030508,07:00:00,341.38,348.05,339.96,347.73,6143150
20030509,07:00:00,347.80,348.58,345.82,347.92,5786590
20030512,07:00:00,348.16,351.58,347.73,350.40,9494090
20030513,07:00:00,350.39,351.26,348.54,349.13,11401460
20030514,07:00:00,349.00,353.95,347.40,352.19,10366990
20030515,07:00:00,351.96,355.22,350.21,351.57,10309340
20030516,07:00:00,351.21,355.07,350.49,353.90,9962560
20030519,07:00:00,355.64,364.11,354.73,363.56,5587510
20030520,07:00:00,364.01,369.30,363.30,367.64,6602190
20030521,07:00:00,367.89,372.00,362.75,371.50,6089840
20030522,07:00:00,371.54,371.80,367.43,367.73,6085630
20030523,07:00:00,367.65,370.19,364.75,367.46,5558330
20030526,07:00:00,367.94,370.49,367.54,369.97,5372700
20030527,07:00:00,369.96,374.19,365.80,366.46,6615070
20030528,07:00:00,365.36,366.60,358.00,364.39,6109480
20030529,07:00:00,364.15,365.00,359.60,364.58,6023140
20030530,07:00:00,364.74,368.80,363.00,363.74,5870570
20030602,07:00:00,362.45,366.24,359.55,365.44,5562360
20030603,07:00:00,365.31,366.94,363.91,364.94,6745270
20030604,07:00:00,364.79,365.34,360.36,360.70,6060490
20030605,07:00:00,360.96,367.40,360.24,366.83,6202240
20030606,07:00:00,366.98,368.30,361.50,363.12,5733890
20030609,07:00:00,362.81,365.19,360.36,360.95,5531980
20030610,07:00:00,360.85,361.57,351.08,351.41,6772930
20030611,07:00:00,351.54,355.77,351.07,354.12,6205070
20030612,07:00:00,354.17,355.12,350.34,352.73,6255420
20030613,07:00:00,352.67,356.10,351.44,355.70,5912740
20030616,07:00:00,356.00,360.30,355.56,358.41,5618970
20030617,07:00:00,358.33,362.87,358.11,362.80,6762030
20030618,07:00:00,362.60,363.87,356.18,356.50,6109720
20030619,07:00:00,356.74,360.97,353.94,360.91,6245940
20030620,07:00:00,360.57,362.08,355.47,355.76,5708510
20030623,07:00:00,355.89,357.17,351.67,351.78,5489200
20030624,07:00:00,351.91,354.26,345.34,345.68,6579810
20030625,07:00:00,345.44,348.78,345.44,347.81,6107330
20030626,07:00:00,347.70,348.27,342.71,343.08,6101880
20030627,07:00:00,343.00,345.69,341.69,344.61,6020770
20030630,07:00:00,344.32,347.41,343.43,345.25,5634850
20030701,07:00:00,345.49,351.06,344.35,350.49,6726990
20030702,07:00:00,350.25,352.30,349.08,350.26,5994830
20030703,07:00:00,350.26,350.97,348.57,350.10,5830090
20030704,07:00:00,350.03,351.06,349.82,350.23,5678070
20030707,07:00:00,350.16,351.47,346.84,347.17,5452900
20030708,07:00:00,347.22,348.03,342.76,343.56,6744280
20030709,07:00:00,343.44,345.47,342.71,343.61,6066800
