DateTime,Open,High,Low,Close
20030811 07:00:00,4.970,5.005,4.910,4.970
20030812 07:00:00,4.970,5.000,4.800,4.860
20030813 07:00:00,4.860,5.020,4.820,5.000
20030814 07:00:00,5.000,5.050,4.960,5.000
20030815 07:00:00,5.000,5.030,4.880,4.910
20030818 07:00:00,4.910,4.960,4.860,4.920
20030819 07:00:00,4.920,5.010,4.870,4.980
20030820 07:00:00,4.980,5.020,4.930,5.000
20030821 07:00:00,5.000,5.030,4.900,4.930
20030822 07:00:00,4.930,5.010,4.910,4.980
20030825 07:00:00,4.980,5.010,4.950,4.970
20030826 07:00:00,4.970,4.990,4.910,4.980
20030827 07:00:00,4.980,5.140,4.940,5.100
20030828 07:00:00,5.100,5.135,5.050,5.100
20030829 07:00:00,5.100,5.160,5.070,5.100
20030901 07:00:00,5.100,5.170,5.080,5.140
20030902 07:00:00,5.140,5.165,4.930,4.970
20030903 07:00:00,4.970,5.050,4.950,5.040
20030904 07:00:00,5.040,5.050,4.980,5.010
20030905 07:00:00,5.010,5.155,4.970,5.100
20030908 07:00:00,5.100,5.110,5.040,5.070
20030909 07:00:00,5.070,5.270,4.960,5.235
20030910 07:00:00,5.235,5.280,5.170,5.230
20030911 07:00:00,5.230,5.320,5.200,5.300
20030912 07:00:00,5.300,5.330,5.135,5.180
20030915 07:00:00,5.180,5.220,5.070,5.150
20030916 07:00:00,5.150,5.200,5.120,5.180
20030917 07:00:00,5.180,5.250,5.140,5.250
20030918 07:00:00,5.250,5.320,5.140,5.220
20030919 07:00:00,5.220,5.280,5.180,5.220
20030922 07:00:00,5.220,5.320,5.190,5.230
20030923 07:00:00,5.250,5.270,5.130,5.190
20030924 07:00:00,5.180,5.290,5.180,5.280
20030925 07:00:00,5.280,5.350,5.160,5.190
20030926 07:00:00,5.190,5.235,4.801,4.911
20030929 07:00:00,5.090,5.185,5.020,5.055
20030930 07:00:00,5.055,5.150,5.040,5.110
20031001 07:00:00,5.100,5.160,5.030,5.080
20031002 07:00:00,5.080,5.120,5.030,5.060
20031003 07:00:00,5.060,5.100,4.780,4.800
20031006 07:00:00,4.800,4.880,4.710,4.780
20031007 07:00:00,4.780,4.870,4.780,4.850
20031008 07:00:00,4.850,4.910,4.820,4.860
20031009 07:00:00,4.850,4.900,4.740,4.820
20031010 07:00:00,4.820,4.900,4.800,4.870
20031013 07:00:00,4.910,4.960,4.830,4.950
20031014 07:00:00,4.950,4.965,4.850,4.900
20031015 07:00:00,4.900,4.950,4.830,4.920
20031016 07:00:00,4.920,4.955,4.860,4.890
20031017 07:00:00,4.890,4.970,4.572,4.717
20031020 07:00:00,4.920,5.010,4.800,4.980
20031021 07:00:00,4.980,5.060,4.950,5.030
20031022 07:00:00,5.030,5.130,5.020,5.100
20031023 07:00:00,5.100,5.165,5.070,5.130
20031024 07:00:00,5.130,5.235,4.825,5.040
20031027 07:00:00,5.150,5.195,5.080,5.170
20031028 07:00:00,5.170,5.180,5.060,5.070
20031029 07:00:00,5.070,5.165,5.050,5.100
20031030 07:00:00,5.100,5.200,5.080,5.120
20031031 07:00:00,5.120,5.180,4.970,5.040
20031103 07:00:00,5.040,5.080,4.890,4.900
20031104 07:00:00,4.900,5.040,4.890,5.010
20031105 07:00:00,5.010,5.060,4.950,4.960
20031106 07:00:00,4.960,5.090,4.910,4.910
20031107 07:00:00,4.910,5.050,4.910,5.040
20031110 07:00:00,5.040,5.090,4.940,5.070
20031111 07:00:00,5.070,5.090,5.020,5.050
20031112 07:00:00,5.050,5.330,5.040,5.300
20031113 07:00:00,5.300,5.350,5.240,5.270
20031114 07:00:00,5.270,5.405,5.250,5.380
20031117 07:00:00,5.380,5.410,5.110,5.230
20031118 07:00:00,5.230,5.360,5.180,5.360
20031119 07:00:00,5.360,5.450,5.220,5.260
20031120 07:00:00,5.260,5.330,5.200,5.250
20031121 07:00:00,5.250,5.310,5.210,5.270
20031124 07:00:00,5.270,5.310,5.160,5.230
20031125 07:00:00,5.230,5.330,5.160,5.280
20031126 07:00:00,5.280,5.380,5.260,5.340
20031127 07:00:00,5.340,5.340,5.300,5.310
20031128 07:00:00,5.310,5.350,5.290,5.340
20031201 07:00:00,5.340,5.520,5.320,5.440
20031202 07:00:00,5.440,5.505,5.380,5.480
20031203 07:00:00,5.480,5.490,5.400,5.450
20031204 07:00:00,5.450,5.470,5.330,5.440
20031205 07:00:00,5.440,5.490,5.380,5.450
20031208 07:00:00,5.450,5.540,5.400,5.540
20031209 07:00:00,5.540,5.630,5.510,5.620
20031210 07:00:00,5.620,5.685,5.540,5.560
20031211 07:00:00,5.560,5.630,5.470,5.630
20031212 07:00:00,5.630,5.630,5.530,5.590
20031215 07:00:00,5.590,5.630,5.450,5.620
20031216 07:00:00,5.620,5.680,5.590,5.600
20031217 07:00:00,5.600,5.680,5.580,5.670
20031218 07:00:00,5.670,5.720,5.580,5.690
20031219 07:00:00,5.690,5.720,5.640,5.690
20031222 07:00:00,5.690,5.740,5.650,5.680
20031223 07:00:00,5.680,5.725,5.650,5.700
20031224 07:00:00,5.700,5.760,5.680,5.750
20031225 07:00:00,5.750,5.770,5.750,5.750
20031226 07:00:00,5.750,5.770,5.740,5.750
20031229 07:00:00,5.750,5.900,5.700,5.890
20031230 07:00:00,5.880,5.960,5.770,5.950
20031231 07:00:00,5.950,6.000,5.890,5.930
20040101 07:00:00,5.930,5.930,5.930,5.930
20040102 07:00:00,5.930,5.980,5.920,5.960
20040105 07:00:00,5.960,6.260,5.960,6.200
20040106 07:00:00,6.200,6.400,6.150,6.280
20040107 07:00:00,6.290,6.300,6.150,6.190
20040108 07:00:00,6.190,6.260,6.120,6.180
20040109 07:00:00,6.180,6.480,6.160,6.450
20040112 07:00:00,6.450,6.740,6.382,6.550
20040113 07:00:00,6.550,6.640,6.480,6.550
20040114 07:00:00,6.560,6.600,6.310,6.340
20040115 07:00:00,6.340,6.620,6.160,6.190
20040116 07:00:00,6.190,6.350,6.130,6.300
20040119 07:00:00,6.300,6.330,6.180,6.330
20040120 07:00:00,6.330,6.400,6.250,6.300
20040121 07:00:00,6.310,6.340,6.070,6.180
20040122 07:00:00,6.180,6.395,6.140,6.330
20040123 07:00:00,6.330,6.360,6.240,6.330
20040126 07:00:00,6.320,6.350,6.200,6.255
20040127 07:00:00,6.255,6.540,6.210,6.510
20040128 07:00:00,6.510,6.620,6.434,6.500
20040129 07:00:00,6.500,6.630,6.110,6.230
20040130 07:00:00,6.230,6.270,6.150,6.230
20040202 07:00:00,6.230,6.290,5.920,6.010
20040203 07:00:00,6.010,6.200,6.010,6.090
20040204 07:00:00,6.090,6.165,6.030,6.120
20040205 07:00:00,6.120,6.230,6.060,6.090
20040206 07:00:00,6.090,6.430,6.010,6.250
20040209 07:00:00,6.250,6.410,6.100,6.370
20040210 07:00:00,6.370,6.460,6.290,6.370
20040211 07:00:00,6.370,6.580,6.260,6.540
20040212 07:00:00,6.540,6.700,6.380,6.590
20040213 07:00:00,6.590,6.710,6.445,6.550
20040216 07:00:00,6.550,6.570,6.500,6.560
20040217 07:00:00,6.560,6.765,6.540,6.730
20040218 07:00:00,6.730,6.860,6.590,6.620
20040219 07:00:00,6.620,6.800,6.530,6.650
20040220 07:00:00,6.650,6.675,6.440,6.510
20040223 07:00:00,6.510,6.660,6.240,6.460
20040224 07:00:00,6.460,6.610,6.450,6.590
20040225 07:00:00,6.590,6.790,6.490,6.510
20040226 07:00:00,6.510,6.725,6.270,6.710
20040227 07:00:00,6.710,6.760,6.540,6.680
20040301 07:00:00,6.680,6.990,6.630,6.920
20040302 07:00:00,6.920,6.950,6.660,6.700
20040303 07:00:00,6.700,6.820,6.510,6.740
20040304 07:00:00,6.740,6.820,6.670,6.730
20040305 07:00:00,6.730,6.970,6.700,6.950
20040308 07:00:00,6.777,7.030,6.710,6.950
20040309 07:00:00,6.950,7.150,6.880,7.090
20040310 07:00:00,7.090,7.240,7.040,7.110
20040311 07:00:00,7.110,7.205,7.020,7.170
20040312 07:00:00,7.170,7.250,6.890,7.020
20040315 07:00:00,7.020,7.240,7.020,7.110
20040316 07:00:00,7.110,7.175,7.070,7.150
20040317 07:00:00,7.150,7.240,7.080,7.240
20040318 07:00:00,7.240,7.440,7.160,7.430
20040319 07:00:00,7.430,7.680,7.200,7.540
20040322 07:00:00,7.540,7.720,7.459,7.590
20040323 07:00:00,7.590,7.680,7.520,7.660
20040324 07:00:00,7.660,7.740,7.530,7.600
20040325 07:00:00,7.600,7.610,7.440,7.570
20040326 07:00:00,7.570,7.770,7.480,7.690
20040329 07:00:00,7.690,7.720,7.550,7.590
20040330 07:00:00,7.590,7.760,7.570,7.740
20040331 07:00:00,7.740,7.920,7.740,7.900
20040401 07:00:00,7.900,8.180,7.790,8.110
20040402 07:00:00,8.110,8.440,7.905,8.110
20040405 07:00:00,8.110,8.320,7.980,8.110
20040406 07:00:00,8.110,8.250,8.070,8.220
20040407 07:00:00,8.220,8.260,8.040,8.180
20040408 07:00:00,8.180,8.230,8.010,8.060
20040409 07:00:00,8.060,8.140,8.060,8.130
20040412 07:00:00,8.130,8.190,7.800,7.990
20040413 07:00:00,7.990,8.010,7.330,7.410
20040414 07:00:00,7.390,7.420,6.800,7.020
20040415 07:00:00,7.020,7.150,6.820,7.100
20040416 07:00:00,7.083,7.220,7.010,7.100
20040419 07:00:00,7.100,7.280,7.100,7.170
20040420 07:00:00,7.170,7.210,6.800,6.800
20040421 07:00:00,6.820,6.820,6.120,6.260
20040422 07:00:00,6.260,6.260,5.980,6.010
20040423 07:00:00,6.010,6.195,5.762,5.909
20040426 07:00:00,6.150,6.240,6.130,6.140
