DateTime,Open,High,Low,Close
20030506 07:00:00,341.49,344.21,340.28,342.37
20030507 07:00:00,342.65,344.19,339.00,341.16
20030508 07:00:00,341.38,348.05,339.96,347.73
20030509 07:00:00,347.80,348.58,345.82,347.92
20030512 07:00:00,348.16,351.58,347.73,350.40
20030513 07:00:00,350.39,351.26,348.54,349.13
20030514 07:00:00,349.00,353.95,347.40,352.19
20030515 07:00:00,351.96,355.22,350.21,351.57
20030516 07:00:00,351.21,355.07,350.49,353.90
20030519 07:00:00,355.64,364.11,354.73,363.56
20030520 07:00:00,364.01,369.30,363.30,367.64
20030521 07:00:00,367.89,372.00,362.75,371.50
20030522 07:00:00,371.54,371.80,367.43,367.73
20030523 07:00:00,367.65,370.19,364.75,367.46
20030526 07:00:00,367.94,370.49,367.54,369.97
20030527 07:00:00,369.96,374.19,365.80,366.46
20030528 07:00:00,365.36,366.60,358.00,364.39
20030529 07:00:00,364.15,365.00,359.60,364.58
20030530 07:00:00,364.74,368.80,363.00,363.74
20030602 07:00:00,362.45,366.24,359.55,365.44
20030603 07:00:00,365.31,366.94,363.91,364.94
20030604 07:00:00,364.79,365.34,360.36,360.70
20030605 07:00:00,360.96,367.40,360.24,366.83
20030606 07:00:00,366.98,368.30,361.50,363.12
20030609 07:00:00,362.81,365.19,360.36,360.95
20030610 07:00:00,360.85,361.57,351.08,351.41
20030611 07:00:00,351.54,355.77,351.07,354.12
20030612 07:00:00,354.17,355.12,350.34,352.73
20030613 07:00:00,352.67,356.10,351.44,355.70
20030616 07:00:00,356.00,360.30,355.56,358.41
20030617 07:00:00,358.33,362.87,358.11,362.80
20030618 07:00:00,362.60,363.87,356.18,356.50
20030619 07:00:00,356.74,360.97,353.94,360.91
20030620 07:00:00,360.57,362.08,355.47,355.76
20030623 07:00:00,355.89,357.17,351.67,351.78
20030624 07:00:00,351.91,354.26,345.34,345.68
20030625 07:00:00,345.44,348.78,345.44,347.81
20030626 07:00:00,347.70,348.27,342.71,343.08
20030627 07:00:00,343.00,345.69,341.69,344.61
20030630 07:00:00,344.32,347.41,343.43,345.25
20030701 07:00:00,345.49,351.06,344.35,350.49
20030702 07:00:00,350.25,352.30,349.08,350.26
20030703 07:00:00,350.26,350.97,348.57,350.10
20030704 07:00:00,350.03,351.06,349.82,350.23
20030707 07:00:00,350.16,351.47,346.84,347.17
20030708 07:00:00,347.22,348.03,342.76,343.56
20030709 07:00:00,343.44,345.47,342.71,343.61
20030710 07:00:00,343.64,345.38,341.25,344.29
20030711 07:00:00,344.11,344.60,342.50,344.34
20030714 07:00:00,344.39,347.35,343.28,346.36
20030715 07:00:00,346.75,348.73,342.69,342.88
20030716 07:00:00,342.78,344.02,340.48,342.56
20030717 07:00:00,342.80,344.60,341.66,343.18
20030718 07:00:00,343.16,346.77,342.41,346.42
